id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,60,1,4,2015-09-12,0.03,1,365,0,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.30,10,0,0,
33111,Million Dollar Views Over Melbourne,143550,Paul,,Melbourne,-37.81997,144.96834,Private room,1000,1,2,2012-01-27,0.02,1,265,0,
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,110,1,171,2021-12-16,1.26,1,313,18,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2018-08-22,1.17,2,0,0,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,218,2021-12-21,1.61,2,308,8,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,79,7,52,2021-08-25,0.39,6,145,1,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,228,2,314,2021-12-27,2.37,1,299,49,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.53,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,176,2021-05-12,1.33,1,357,4,
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93378,145.016,Entire home/apt,300,1,0,,,1,0,0,
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,364,0,
72576,Stunning Fitzroy +private bathroom 'Little George',376675,Ramona,,Yarra,-37.80737,144.98054,Private room,100,2,544,2021-05-24,4.15,2,2,9,
74324,Tamerlane: Architect-designed luxury living,390761,Matt,,Yarra,-37.80275,144.97616,Entire home/apt,303,14,69,2021-12-17,0.85,1,306,2,
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2020-01-26,0.84,1,337,0,
78143,2 bedrooms-ideal for friends/family in quiet area,419767,Julie,,Stonnington,-37.8531,144.99012,Private room,80,2,152,2021-12-28,1.18,1,356,7,
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-03-24,0.64,10,0,0,
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.86971,145.00662,Entire home/apt,125,21,10,2021-03-05,0.20,1,129,1,
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,165,2,261,2021-05-23,2.03,1,336,6,
120487,Garden Bungalow with the Possums,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,97,3,87,2021-08-24,0.70,2,260,6,
133617,Life style on the Beach 豪华的海边生活,646383,Hannah,,Port Phillip,-37.84317,144.94031,Private room,90,3,14,2020-03-01,0.11,1,124,0,
136510,Private Room,668249,Shirley,,Melbourne,-37.77919,144.94041,Private room,48,1,10,2018-09-23,0.20,1,0,0,
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,Ramona,,Yarra,-37.80508,144.97942,Private room,90,2,581,2021-05-08,4.56,2,3,4,
157427,"Stone's Throw Studio, Belgrave",717024,Margaret,,Yarra Ranges,-37.90605,145.35069,Entire home/apt,163,1,45,2021-12-18,0.36,2,329,6,
161033,Healesville Yarra Valley Cottage,770883,Karen,,Yarra Ranges,-37.63282,145.49766,Entire home/apt,95,2,247,2021-12-14,1.96,1,124,10,
161404,"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",772011,Alice,,Banyule,-37.75651,145.03991,Entire home/apt,140,4,45,2022-01-02,0.86,1,55,13,
163077,Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,89,3,59,2020-03-29,0.47,10,0,0,
173426,Beautiful Northcote home with heart -close to city,804527,Tania,,Darebin,-37.76315,144.98578,Private room,40,1,18,2020-01-23,0.14,1,0,0,
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,182833,Diana,,Darebin,-37.69879,145.00193,Private room,35,2,1,2017-05-07,0.02,2,0,0,
210568,"Carnarvon, Armadale/St KldaE/Caulfl",1038237,Ian,,Glen Eira,-37.86898,145.02775,Private room,60,3,22,2019-09-26,0.18,2,0,0,
213348,Large room in quiet Victorian home,689924,Adrian,,Port Phillip,-37.85874,144.98633,Private room,90,3,3,2018-03-25,0.05,1,365,0,
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.7137,145.1238,Private room,40,1,0,,,1,0,0,
229430,ROOM IN MODERN TOWNHOUSE Melbourne,1198300,Daniela,,Boroondara,-37.82995,145.05102,Private room,49,2,23,2015-04-25,0.19,1,8,0,
230790,Clarelee - Belgrave Accommodation,1197236,Clarelee,,Yarra Ranges,-37.90514,145.35261,Entire home/apt,564,2,80,2022-01-01,0.90,2,321,3,
232088,VERY QUIET  2 Bedrooms  2 Bathrooms BIG Kitchen,1214242,Mal,,Moreland,-37.71096,144.9518,Entire home/apt,149,2,21,2020-03-08,0.18,8,275,0,
232812,Parkland apartment on edge of CBD,950667,Rosemary,,Melbourne,-37.7857,144.95616,Entire home/apt,190,2,8,2018-02-28,0.06,1,0,0,
