Code,Name,Type,Latitude,Longitude,Sector,State,Childbirths 2012,Childbirths 2013,Childbirths 2014,Childbirths 2015,Childbirths 2016,Childbirths 2017,Childbirths 2018,Childbirths 2019,Childbirths 2020,Childbirths 2021,Childbirths total
H0012,State Forensic Mental Health Service,Hospital,-31.960937,115.788431,Public,Western Australia,0,0,0,0,0,0,0,0,0,0,0
H0013,Justice Health Services,Hospital,-33.96907,151.243206,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0014,The Children's Hospital at Westmead,Hospital,-33.801554,150.991759,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0015,Sydney Children's Hospital,Hospital,-33.917179,151.238334,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0016,Sacred Heart Health Service,Hospital,-33.880525,151.219237,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0017,St Vincent's Hospital [Darlinghurst],Hospital,-33.879692,151.221125,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0018,St Joseph's Hospital,Hospital,-33.848659,151.028339,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0019,Balmain Hospital,Hospital,-33.859469,151.181469,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0020,Canterbury Hospital,Hospital,-33.919592,151.098275,Public,New South Wales,1710,1745,1745,1733,1757,1749,1651,1540,1468,1370,16468
H0021,Royal Prince Alfred Hospital,Hospital,-33.889251,151.182926,Public,New South Wales,5305,5176,5009,4914,4966,5018,4882,4647,4504,4363,48784
H0022,Tresillian Care Centres,Hospital,-33.918732,151.097526,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0023,Concord Repatriation Hospital,Hospital,-33.837288,151.092664,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0024,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,Hospital,-33.88828,151.180707,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0025,Karitane,Hospital,-33.879777,150.965763,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0026,Camden Hospital,Hospital,-34.062702,150.693297,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0027,Fairfield Hospital,Hospital,-33.860117,150.904339,Public,New South Wales,1911,1903,1810,1730,1755,1718,1595,1539,1495,1515,16971
H0028,Liverpool Hospital,Hospital,-33.919966,150.930776,Public,New South Wales,3116,3179,3286,3423,3417,3497,3666,3677,3677,3530,34468
H0029,Campbelltown Hospital,Hospital,-34.077651,150.806321,Public,New South Wales,2845,2903,2928,3060,3273,3527,3837,3996,4001,3927,34297
H0030,Bankstown Lidcombe Hospital,Hospital,-33.933088,151.020823,Public,New South Wales,2184,2209,2223,2232,2133,1955,1883,1837,1756,1672,20084
H0031,Braeside Hospital,Hospital,-33.861917,150.902192,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0032,Bowral Hospital,Hospital,-34.485043,150.423796,Public,New South Wales,469,469,446,405,431,422,394,417,501,566,4520
H0033,Sydney Hospital / Sydney Eye Hospital,Hospital,-33.867929,151.212575,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0034,Calvary Health Care - Sydney,Hospital,-33.976132,151.136206,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0035,Gower Wilson Multi Purpose Service,Hospital,-31.535603,159.071307,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0036,War Memorial Hospital,Hospital,-33.897496,151.253816,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0037,Prince of Wales Hospital,Hospital,-33.918492,151.23938,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0038,St George Hospital NSW,Hospital,-33.966969,151.133776,Public,New South Wales,2544,2567,2538,2495,2498,2428,2385,2342,2323,2386,24506
H0039,Sutherland Hospital,Hospital,-34.037288,151.115151,Public,New South Wales,1313,1320,1326,1334,1325,1306,1300,1289,1322,1364,13199
H0040,Royal Hospital for Women,Hospital,-33.919035,151.237938,Public,New South Wales,4017,4033,3972,4014,4035,3874,3779,3756,3823,3826,39129
H0041,Bulli Hospital,Hospital,-34.336667,150.907344,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0042,Coledale Hospital,Hospital,-34.283797,150.950796,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0043,Kiama Hospital,Hospital,-34.682937,150.850514,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0044,Milton Ulladulla Hospital,Hospital,-35.317313,150.438918,Public,New South Wales,109,104,64,29,14,0,0,0,0,0,320
H0045,Port Kembla Hospital,Hospital,-34.485923,150.881778,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0046,Shoalhaven Hospital,Hospital,-34.868767,150.595736,Public,New South Wales,865,844,862,903,863,838,840,864,880,870,8629
H0047,Wollongong Hospital,Hospital,-34.424938,150.883451,Public,New South Wales,2297,2294,2340,2442,2470,2474,2492,2454,2577,2697,24537
H0048,Shellharbour Hospital,Hospital,-34.558987,150.840947,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0049,Illawarra Mental Health Services,Hospital,-34.42623,150.891252,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0050,David Berry Hospital,Hospital,-34.775909,150.712819,Public,New South Wales,0,0,0,0,0,0,0,0,0,0,0
H0051,Auburn Hospital,Hospital,-33.859867,151.033204,Public,New South Wales,1424,1342,1325,1334,1320,1335,1415,1424,1350,1231,13500
